tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
68.00;3/3to3/2_1;378.80;13.66;7.00;0.00;2/3to3/3_1;5.10;0.00;tripinfo_car7;61.00;car7;0;760.40;33.28;privateType;;0
69.00;1/1to2/1_1;377.30;13.00;6.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car6;63.00;car6;0;754.32;35.50;privateType;;0
74.00;2/2to2/3_1;377.30;13.23;10.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car10;64.00;car10;0;770.47;35.94;privateType;;0
82.00;0/1to0/2_1;377.30;13.67;51.00;0.00;0/1to0/2_1;5.10;0.00;tripinfo_car51;31.00;car51;0;372.20;17.48;privateType;;0
102.00;3/1to2/1_1;377.30;13.53;9.00;0.00;2/2to2/1_1;5.10;0.00;tripinfo_car9;93.00;car9;0;1139.09;51.52;privateType;;0
102.00;2/3to1/3_1;377.30;13.62;2.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car2;100.00;car2;0;1171.40;57.63;privateType;;0
102.00;2/1to2/2_1;377.30;12.62;5.00;0.00;1/0to2/0_1;5.10;0.00;tripinfo_car5;97.00;car5;0;1157.85;54.72;privateType;;0
109.00;0/1to1/1_2;377.30;13.40;43.00;0.00;1/1to0/1_1;5.10;0.00;tripinfo_car43;66.00;car43;0;754.32;38.79;privateType;;0
109.00;1/3to2/3_1;377.30;13.32;17.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car17;92.00;car17;0;1160.40;49.98;privateType;;0
111.00;1/3to1/2_1;377.30;13.16;46.00;0.00;2/3to1/3_1;5.10;0.00;tripinfo_car46;65.00;car46;0;757.85;37.26;privateType;;0
115.00;1/1to0/1_1;377.30;12.98;22.00;0.00;0/2to0/1_1;5.10;0.00;tripinfo_car22;93.00;car22;0;1139.97;51.25;privateType;;0
117.00;2/0to1/0_1;377.30;13.89;20.00;0.00;1/1to1/0_0;12.10;0.00;tripinfo_bus1;97.00;bus1;0;1145.84;54.08;busType;;0
120.00;1/1to1/0_1;377.30;13.24;88.00;0.00;1/1to1/0_1;5.10;0.00;tripinfo_car88;32.00;car88;0;372.20;18.45;privateType;;0
126.00;1/2to0/2_2;377.30;13.23;33.00;0.00;0/3to0/2_1;5.10;0.00;tripinfo_car33;93.00;car33;0;1141.47;51.37;privateType;;0
131.00;2/3to1/3_1;377.30;13.03;8.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car8;123.00;car8;0;1540.11;67.31;privateType;;0
133.00;1/2to1/1_0;377.30;26.43;80.00;0.00;0/2to1/2_0;12.10;0.00;tripinfo_bus4;53.00;bus4;0;747.50;24.52;busType;;0
133.00;3/0to2/0_1;378.80;13.77;72.00;0.00;3/1to3/0_1;5.10;0.00;tripinfo_car72;61.00;car72;0;760.40;33.49;privateType;;0
133.00;3/3to2/3_1;378.80;12.86;40.00;0.00;2/2to3/2_1;5.10;0.00;tripinfo_car40;93.00;car40;0;1177.30;50.53;privateType;;0
133.00;2/1to1/1_1;377.30;6.91;0.00;0.00;0/2to0/1_0;12.10;0.00;tripinfo_bus0;133.00;bus0;0;1532.97;75.47;busType;;0
138.00;0/3to0/2_1;378.80;13.00;76.00;0.00;1/3to0/3_1;5.10;0.00;tripinfo_car76;62.00;car76;0;776.37;33.83;privateType;;0
138.00;1/1to1/2_1;377.30;13.48;47.00;0.00;1/1to1/0_1;5.10;0.00;tripinfo_car47;91.00;car47;0;1154.32;49.55;privateType;;0
144.00;3/1to2/1_1;377.30;13.51;15.00;0.00;3/2to2/2_1;5.10;0.00;tripinfo_car15;129.00;car15;0;1537.36;73.31;privateType;;0
146.00;1/1to0/1_1;377.30;13.55;50.00;0.00;0/0to1/0_1;5.10;0.00;tripinfo_car50;96.00;car50;0;1144.12;53.63;privateType;;0
148.00;3/3to2/3_1;378.80;13.09;26.00;0.00;0/3to1/3_1;5.10;0.00;tripinfo_car26;122.00;car26;0;1556.20;66.02;privateType;;0
149.00;3/3to3/2_1;378.80;12.62;29.00;1.00;0/3to1/3_1;5.10;0.00;tripinfo_car28;120.00;car28;0;1561.90;63.88;privateType;;0
150.00;2/1to3/1_1;377.30;13.50;118.00;0.00;2/1to3/1_1;5.10;0.00;tripinfo_car118;32.00;car118;0;372.20;18.18;privateType;;0
154.00;0/1to1/1_2;377.30;13.50;1.00;0.00;1/0to0/0_1;5.10;0.00;tripinfo_car1;153.00;car1;0;1925.76;83.03;privateType;;0
154.00;2/3to3/3_0;378.80;17.17;40.00;0.00;2/2to2/1_0;12.10;0.00;tripinfo_bus2;114.00;bus2;0;1528.71;57.09;busType;;0
160.00;1/2to2/2_1;377.30;13.69;66.00;0.00;2/1to2/2_1;5.10;0.00;tripinfo_car66;94.00;car66;0;1139.09;52.37;privateType;;0
160.00;1/1to0/1_1;377.30;13.36;78.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car78;82.00;car78;0;772.20;53.98;privateType;;14
161.00;0/2to0/1_1;377.30;13.78;20.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car20;141.00;car20;0;1555.25;85.02;privateType;;10
161.00;1/3to1/2_1;377.30;13.13;67.00;0.00;1/3to2/3_1;5.10;0.00;tripinfo_car67;94.00;car67;0;1137.56;52.49;privateType;;0
164.00;3/3to3/2_1;378.80;13.01;13.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car13;151.00;car13;0;1948.60;80.64;privateType;;0
165.00;3/2to3/1_1;377.30;13.68;4.00;0.00;2/1to2/2_1;5.10;0.00;tripinfo_car4;161.00;car4;0;1917.32;91.41;privateType;;2
166.00;1/2to1/1_1;377.30;13.25;69.00;1.00;2/1to2/2_1;5.10;0.00;tripinfo_car68;97.00;car68;0;1155.24;54.84;privateType;;0
167.00;1/2to1/3_2;377.30;12.78;25.00;0.00;2/2to1/2_1;5.10;0.00;tripinfo_car25;142.00;car25;0;1552.59;85.91;privateType;;11
