tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
67.00;3/3to3/2_1;378.80;12.85;7.00;0.00;2/3to3/3_1;5.10;0.00;tripinfo_car7;60.00;car7;0;760.40;32.67;privateType;;0
69.00;1/1to2/1_1;377.30;12.85;6.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car6;63.00;car6;0;754.32;35.52;privateType;;0
72.00;0/1to0/2_0;377.30;27.44;51.00;0.00;0/1to0/2_0;5.10;0.00;tripinfo_car51;21.00;car51;0;372.20;7.18;privateType;;0
72.00;2/2to2/3_1;377.30;12.72;10.00;0.00;1/2to2/2_0;5.10;0.00;tripinfo_car10;62.00;car10;0;770.47;34.32;privateType;;0
76.00;2/1to2/2_0;377.30;26.79;5.00;0.00;1/0to2/0_1;5.10;0.00;tripinfo_car5;71.00;car5;0;1157.85;28.22;privateType;;0
83.00;1/3to2/3_1;377.30;12.64;17.00;0.00;0/2to0/3_0;5.10;0.00;tripinfo_car17;66.00;car17;0;1160.40;24.12;privateType;;0
92.00;2/3to1/3_0;377.30;27.61;2.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car2;90.00;car2;0;1171.40;47.38;privateType;;0
95.00;2/2to2/1_0;377.30;27.27;36.00;0.00;1/3to2/3_0;5.10;0.00;tripinfo_car36;59.00;car36;3;1154.50;16.71;privateType;;0
102.00;3/1to2/1_1;377.30;13.11;9.00;0.00;2/2to2/1_1;5.10;0.00;tripinfo_car9;93.00;car9;0;1139.09;51.37;privateType;;0
105.00;0/1to1/1_1;377.30;13.43;43.00;0.00;1/1to0/1_1;5.10;0.00;tripinfo_car43;62.00;car43;0;754.32;34.82;privateType;;0
108.00;1/1to1/0_0;377.30;27.47;88.00;0.00;1/1to1/0_0;5.10;0.00;tripinfo_car88;20.00;car88;0;372.20;6.53;privateType;;0
109.00;1/3to1/2_1;377.30;13.03;46.00;0.00;2/3to1/3_0;5.10;0.00;tripinfo_car46;63.00;car46;0;757.85;34.93;privateType;;0
111.00;3/1to3/2_0;377.30;27.61;35.00;0.00;2/0to2/1_0;5.10;0.00;tripinfo_car35;76.00;car35;1;1155.43;34.05;privateType;;0
117.00;1/1to0/1_1;377.30;13.33;22.00;0.00;0/2to0/1_0;5.10;0.00;tripinfo_car22;95.00;car22;0;1139.97;53.41;privateType;;0
117.00;2/0to1/0_1;377.30;13.65;20.00;0.00;1/1to1/0_0;12.10;0.00;tripinfo_bus1;97.00;bus1;0;1145.84;54.35;busType;;0
120.00;3/3to3/2_0;378.80;27.85;29.00;1.00;0/3to1/3_0;5.10;0.00;tripinfo_car28;91.00;car28;0;1561.90;34.31;privateType;;9
120.00;1/1to0/1_0;377.30;26.84;78.00;0.00;2/1to1/1_0;5.10;0.00;tripinfo_car78;42.00;car78;0;772.20;13.53;privateType;;0
121.00;0/2to0/3_0;378.80;26.90;45.00;0.00;2/2to1/2_0;5.10;0.00;tripinfo_car45;76.00;car45;1;1156.00;34.15;privateType;;3
124.00;3/3to3/2_0;378.80;27.57;13.00;0.00;0/2to0/3_0;5.10;0.00;tripinfo_car13;111.00;car13;4;1948.60;40.47;privateType;;0
124.00;1/3to1/2_0;377.30;26.54;72.00;1.00;0/2to0/3_0;5.10;0.00;tripinfo_car71;52.00;car71;1;1142.70;10.49;privateType;;0
