tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
67.00;1/1to2/1_1;377.30;13.50;6.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car6;61.00;car6;0;754.32;33.72;privateType;;0
68.00;3/3to3/2_1;378.80;13.02;7.00;0.00;2/3to3/3_1;5.10;0.00;tripinfo_car7;61.00;car7;0;760.40;33.40;privateType;;0
73.00;2/2to2/3_1;377.30;12.86;10.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car10;63.00;car10;0;770.47;35.28;privateType;;0
82.00;0/1to0/2_1;377.30;13.05;51.00;0.00;0/1to0/2_1;5.10;0.00;tripinfo_car51;31.00;car51;0;372.20;17.60;privateType;;0
95.00;2/3to1/3_1;377.30;13.71;2.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car2;93.00;car2;0;1171.40;50.86;privateType;;0
99.00;2/1to2/2_1;377.30;13.70;5.00;0.00;1/0to2/0_1;5.10;0.00;tripinfo_car5;94.00;car5;0;1157.85;51.84;privateType;;0
103.00;3/1to2/1_1;377.30;13.57;9.00;0.00;2/2to2/1_1;5.10;0.00;tripinfo_car9;94.00;car9;0;1139.09;52.60;privateType;;0
107.00;1/3to2/3_1;377.30;13.55;17.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car17;90.00;car17;0;1160.40;48.29;privateType;;0
108.00;0/1to1/1_2;377.30;12.97;43.00;0.00;1/1to0/1_1;5.10;0.00;tripinfo_car43;65.00;car43;0;754.32;37.63;privateType;;0
110.00;1/3to1/2_1;377.30;12.94;46.00;0.00;2/3to1/3_1;5.10;0.00;tripinfo_car46;64.00;car46;0;757.85;36.17;privateType;;0
117.00;1/1to0/1_1;377.30;12.82;22.00;0.00;0/2to0/1_1;5.10;0.00;tripinfo_car22;95.00;car22;0;1139.97;53.48;privateType;;0
119.00;1/1to1/0_1;377.30;13.57;88.00;0.00;1/1to1/0_1;5.10;0.00;tripinfo_car88;31.00;car88;0;372.20;17.59;privateType;;0
126.00;1/2to0/2_2;377.30;12.90;33.00;0.00;0/3to0/2_1;5.10;0.00;tripinfo_car33;93.00;car33;0;1141.47;51.41;privateType;;0
127.00;2/0to1/0_0;377.30;15.49;20.00;0.00;1/1to1/0_0;12.10;0.00;tripinfo_bus1;107.00;bus1;0;1145.84;64.03;busType;;1
131.00;2/3to1/3_1;377.30;13.29;8.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car8;123.00;car8;0;1540.11;67.45;privateType;;0
133.00;3/0to2/0_1;378.80;13.41;72.00;0.00;3/1to3/0_1;5.10;0.00;tripinfo_car72;61.00;car72;0;760.40;33.52;privateType;;0
134.00;3/3to2/3_1;378.80;13.06;40.00;0.00;2/2to3/2_1;5.10;0.00;tripinfo_car40;94.00;car40;0;1177.30;51.62;privateType;;0
135.00;2/1to1/1_0;377.30;5.71;0.00;0.00;0/2to0/1_0;12.10;0.00;tripinfo_bus0;135.00;bus0;0;1532.97;77.52;busType;;0
138.00;1/2to1/1_0;377.30;17.20;80.00;0.00;0/2to1/2_0;12.10;0.00;tripinfo_bus4;58.00;bus4;0;747.50;29.68;busType;;0
138.00;0/3to0/2_1;378.80;13.34;76.00;0.00;1/3to0/3_1;5.10;0.00;tripinfo_car76;62.00;car76;0;776.37;33.69;privateType;;0
140.00;1/1to1/2_1;377.30;13.04;47.00;0.00;1/1to1/0_1;5.10;0.00;tripinfo_car47;93.00;car47;0;1154.32;51.24;privateType;;0
143.00;2/3to3/3_0;378.80;26.42;40.00;0.00;2/2to2/1_0;12.10;0.00;tripinfo_bus2;103.00;bus2;0;1528.71;45.32;busType;;0
144.00;3/1to2/1_1;377.30;12.99;15.00;0.00;3/2to2/2_1;5.10;0.00;tripinfo_car15;129.00;car15;0;1537.36;73.33;privateType;;0
146.00;1/1to0/1_1;377.30;13.63;50.00;0.00;0/0to1/0_1;5.10;0.00;tripinfo_car50;96.00;car50;0;1144.12;53.74;privateType;;0
148.00;3/3to2/3_1;378.80;13.26;26.00;0.00;0/3to1/3_1;5.10;0.00;tripinfo_car26;122.00;car26;0;1556.20;65.86;privateType;;0
149.00;2/1to3/1_2;377.30;13.85;118.00;0.00;2/1to3/1_1;5.10;0.00;tripinfo_car118;31.00;car118;0;372.20;17.57;privateType;;0
151.00;3/3to3/2_1;378.80;13.85;29.00;1.00;0/3to1/3_1;5.10;0.00;tripinfo_car28;122.00;car28;0;1561.90;65.61;privateType;;0
159.00;0/2to0/1_1;377.30;12.87;20.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car20;139.00;car20;0;1555.25;82.98;privateType;;10
160.00;3/2to3/1_1;377.30;13.63;4.00;0.00;2/1to2/2_1;5.10;0.00;tripinfo_car4;156.00;car4;0;1917.32;86.37;privateType;;0
160.00;1/2to2/2_1;377.30;12.61;66.00;0.00;2/1to2/2_1;5.10;0.00;tripinfo_car66;94.00;car66;0;1139.09;52.31;privateType;;0
161.00;1/3to1/2_2;377.30;13.03;67.00;0.00;1/3to2/3_1;5.10;0.00;tripinfo_car67;94.00;car67;0;1137.56;52.48;privateType;;0
162.00;1/1to0/1_1;377.30;13.68;78.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car78;84.00;car78;0;772.20;56.00;privateType;;16
166.00;0/1to1/1_1;377.30;5.06;1.00;0.00;1/0to0/0_1;5.10;0.00;tripinfo_car1;165.00;car1;0;1925.76;95.16;privateType;;6
166.00;3/3to3/2_1;378.80;13.83;13.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car13;153.00;car13;0;1948.60;82.57;privateType;;0
168.00;0/2to1/2_1;377.30;13.44;105.00;0.00;1/2to0/2_1;5.10;0.00;tripinfo_car105;63.00;car105;0;754.32;35.71;privateType;;0
168.00;1/2to1/1_1;377.30;13.73;71.00;3.00;2/1to2/2_1;5.10;0.00;tripinfo_car68;97.00;car68;0;1155.24;54.77;privateType;;0
169.00;2/0to2/1_1;377.30;13.47;41.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car41;128.00;car41;0;1557.05;71.56;privateType;;0
169.00;1/2to1/3_1;377.30;12.73;25.00;0.00;2/2to1/2_1;5.10;0.00;tripinfo_car25;144.00;car25;0;1552.59;88.06;privateType;;15
173.00;1/1to2/1_1;377.30;13.19;12.00;0.00;1/3to2/3_1;5.10;0.00;tripinfo_car12;161.00;car12;0;1922.33;90.93;privateType;;0
175.00;1/2to2/2_1;377.30;13.02;3.00;0.00;3/0to3/1_1;5.10;0.00;tripinfo_car3;172.00;car3;0;1941.47;101.59;privateType;;12
176.00;1/2to0/2_1;377.30;13.68;38.00;0.00;3/1to3/2_1;5.10;0.00;tripinfo_car38;138.00;car38;0;1557.85;81.30;privateType;;7
