tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
68.00;1/1to2/1_1;377.30;13.70;6.00;0.00;2/1to1/1_1;5.10;0.00;tripinfo_car6;62.00;car6;0;754.32;34.79;privateType;;0
68.00;3/3to3/2_1;378.80;12.70;7.00;0.00;2/3to3/3_1;5.10;0.00;tripinfo_car7;61.00;car7;0;760.40;33.39;privateType;;0
71.00;0/1to0/2_0;377.30;27.09;51.00;0.00;0/1to0/2_0;5.10;0.00;tripinfo_car51;20.00;car51;0;372.20;6.64;privateType;;0
74.00;2/2to2/3_1;377.30;13.44;10.00;0.00;1/2to2/2_0;5.10;0.00;tripinfo_car10;64.00;car10;0;770.47;35.96;privateType;;0
76.00;2/1to2/2_0;377.30;27.03;5.00;0.00;1/0to2/0_1;5.10;0.00;tripinfo_car5;71.00;car5;0;1157.85;28.16;privateType;;0
78.00;1/3to2/3_0;377.30;17.07;17.00;0.00;0/2to0/3_0;5.10;0.00;tripinfo_car17;61.00;car17;0;1160.40;18.97;privateType;;0
94.00;2/3to1/3_0;377.30;26.82;2.00;0.00;1/2to2/2_1;5.10;0.00;tripinfo_car2;92.00;car2;0;1171.40;49.52;privateType;;0
94.00;2/2to2/1_0;377.30;27.38;36.00;0.00;1/3to2/3_0;5.10;0.00;tripinfo_car36;58.00;car36;2;1154.50;16.37;privateType;;0
102.00;3/1to2/1_1;377.30;12.93;9.00;0.00;2/2to2/1_1;5.10;0.00;tripinfo_car9;93.00;car9;0;1139.09;51.46;privateType;;0
105.00;0/1to1/1_1;377.30;13.21;43.00;0.00;1/1to0/1_1;5.10;0.00;tripinfo_car43;62.00;car43;0;754.32;34.72;privateType;;0
108.00;1/3to1/2_0;377.30;21.62;46.00;0.00;2/3to1/3_0;5.10;0.00;tripinfo_car46;62.00;car46;0;757.85;33.85;privateType;;0
109.00;1/1to1/0_0;377.30;26.62;88.00;0.00;1/1to1/0_0;5.10;0.00;tripinfo_car88;21.00;car88;0;372.20;6.90;privateType;;0
110.00;3/1to3/2_0;377.30;26.53;35.00;0.00;2/0to2/1_0;5.10;0.00;tripinfo_car35;75.00;car35;1;1155.43;33.27;privateType;;0
114.00;3/3to3/2_1;378.80;13.77;29.00;1.00;0/3to1/3_0;5.10;0.00;tripinfo_car28;85.00;car28;0;1561.90;28.58;privateType;;0
115.00;1/1to0/1_1;377.30;13.42;22.00;0.00;0/2to0/1_0;5.10;0.00;tripinfo_car22;93.00;car22;0;1139.97;51.50;privateType;;0
117.00;2/0to1/0_1;377.30;13.70;20.00;0.00;1/1to1/0_0;12.10;0.00;tripinfo_bus1;97.00;bus1;0;1145.84;54.32;busType;;0
120.00;1/1to0/1_0;377.30;26.60;78.00;0.00;2/1to1/1_0;5.10;0.00;tripinfo_car78;42.00;car78;0;772.20;13.80;privateType;;0
121.00;0/2to0/3_0;378.80;27.59;45.00;0.00;2/2to1/2_0;5.10;0.00;tripinfo_car45;76.00;car45;1;1156.00;34.41;privateType;;3
125.00;1/2to1/1_0;377.30;27.54;23.00;0.00;0/1to0/2_1;5.10;0.00;tripinfo_car23;102.00;car23;1;1942.70;31.38;privateType;;0
125.00;1/3to1/2_0;377.30;23.14;71.00;0.00;0/2to0/3_0;5.10;0.00;tripinfo_car71;54.00;car71;1;1142.70;12.32;privateType;;0
127.00;1/2to0/2_0;377.30;26.67;39.00;0.00;1/3to2/3_0;5.10;0.00;tripinfo_car39;88.00;car39;3;1536.80;32.49;privateType;;3
128.00;2/3to1/3_1;377.30;13.52;8.00;0.00;0/2to0/3_1;5.10;0.00;tripinfo_car8;120.00;car8;2;1540.11;64.64;privateType;;0
128.00;0/1to1/1_0;377.30;27.19;1.00;0.00;1/0to0/0_1;5.10;0.00;tripinfo_car1;127.00;car1;3;1904.91;58.46;privateType;;0
128.00;1/1to0/1_0;377.30;27.05;92.00;0.00;1/2to1/1_0;5.10;0.00;tripinfo_car92;36.00;car92;1;754.50;7.99;privateType;;0
128.00;1/2to0/2_1;377.30;13.86;33.00;0.00;0/3to0/2_0;5.10;0.00;tripinfo_car33;95.00;car33;0;1141.47;53.52;privateType;;0
129.00;3/0to2/0_0;378.80;27.28;72.00;0.00;3/1to3/0_1;5.10;0.00;tripinfo_car72;57.00;car72;0;760.40;29.21;privateType;;0
131.00;3/3to2/3_0;378.80;25.77;40.00;0.00;2/2to3/2_1;5.10;0.00;tripinfo_car40;91.00;car40;0;1177.30;48.66;privateType;;0
134.00;0/3to0/2_0;378.80;26.76;76.00;0.00;1/3to0/3_1;5.10;0.00;tripinfo_car76;58.00;car76;0;776.37;29.48;privateType;;0
137.00;1/1to1/2_0;377.30;21.07;47.00;0.00;1/1to1/0_1;5.10;0.00;tripinfo_car47;90.00;car47;0;1154.32;48.55;privateType;;6
141.00;3/1to3/2_0;377.30;27.83;64.00;0.00;2/0to2/1_0;5.10;0.00;tripinfo_car64;77.00;car64;1;1155.43;34.57;privateType;;0
141.00;3/1to2/1_1;377.30;13.52;15.00;0.00;3/2to2/2_1;5.10;0.00;tripinfo_car15;126.00;car15;0;1537.36;69.90;privateType;;0
141.00;2/2to2/3_0;377.30;27.03;60.00;0.00;3/0to2/0_1;5.10;0.00;tripinfo_car60;81.00;car60;1;1556.00;24.31;privateType;;0
142.00;2/1to3/1_0;377.30;27.40;118.00;0.00;2/1to3/1_0;5.10;0.00;tripinfo_car118;24.00;car118;0;372.20;9.68;privateType;;0
143.00;2/3to3/3_0;378.80;26.65;40.00;0.00;2/2to2/1_0;12.10;0.00;tripinfo_bus2;103.00;bus2;0;1528.71;46.04;busType;;0
144.00;0/2to0/1_0;377.30;27.69;20.00;0.00;1/2to2/2_0;5.10;0.00;tripinfo_car20;124.00;car20;0;1555.25;67.88;privateType;;0
145.00;1/2to0/2_0;377.30;26.70;38.00;0.00;3/1to3/2_0;5.10;0.00;tripinfo_car38;107.00;car38;0;1557.85;50.55;privateType;;6
145.00;1/1to0/1_1;377.30;13.74;50.00;0.00;0/0to1/0_0;5.10;0.00;tripinfo_car50;95.00;car50;2;1144.12;52.74;privateType;;0
147.00;2/1to1/1_1;377.30;13.68;0.00;0.00;0/2to0/1_0;12.10;0.00;tripinfo_bus0;147.00;bus0;0;1532.97;89.64;busType;;11
148.00;3/3to3/2_0;378.80;23.33;13.00;0.00;0/2to0/3_0;5.10;0.00;tripinfo_car13;135.00;car13;4;1948.60;64.62;privateType;;0
148.00;3/3to2/3_1;378.80;12.81;26.00;0.00;0/3to1/3_0;5.10;0.00;tripinfo_car26;122.00;car26;0;1556.20;65.99;privateType;;0
150.00;1/2to1/3_1;377.30;13.84;25.00;0.00;2/2to1/2_1;5.10;0.00;tripinfo_car25;125.00;car25;0;1552.59;69.22;privateType;;0
153.00;2/2to3/2_1;377.30;13.79;75.00;0.00;3/3to3/2_0;5.10;0.00;tripinfo_car75;78.00;car75;1;1138.12;36.76;privateType;;0
154.00;1/2to1/1_0;377.30;25.16;85.00;5.00;0/2to1/2_0;12.10;0.00;tripinfo_bus4;69.00;bus4;0;747.50;41.27;busType;;7
155.00;3/2to3/1_0;377.30;26.99;11.00;0.00;0/3to0/2_1;5.10;0.00;tripinfo_car11;144.00;car11;7;1941.65;72.87;privateType;;0
157.00;2/2to2/1_0;377.30;27.88;65.00;0.00;1/2to1/1_0;5.10;0.00;tripinfo_car65;92.00;car65;1;1516.51;37.48;privateType;;0
159.00;0/2to0/3_0;378.80;26.61;19.00;0.00;2/0to2/1_1;5.10;0.00;tripinfo_car19;140.00;car19;3;1907.84;69.98;privateType;;0
160.00;3/2to3/1_1;377.30;13.50;4.00;0.00;2/1to2/2_1;5.10;0.00;tripinfo_car4;156.00;car4;2;1917.32;86.42;privateType;;0
161.00;1/1to1/0_0;377.30;27.76;0.00;0.00;0/3to1/3_1;5.10;0.00;tripinfo_car0;161.00;car0;6;2339.06;75.81;privateType;;0
161.00;2/2to2/1_0;377.30;27.00;84.00;0.00;1/0to1/1_0;5.10;0.00;tripinfo_car84;77.00;car84;1;1536.80;21.67;privateType;;0
163.00;1/2to2/2_1;377.30;13.04;66.00;0.00;2/1to2/2_0;5.10;0.00;tripinfo_car66;97.00;car66;0;1139.09;55.22;privateType;;0
163.00;2/0to1/0_1;377.30;13.83;42.00;0.00;0/1to1/1_0;5.10;0.00;tripinfo_car42;121.00;car42;3;1535.14;65.58;privateType;;0
164.00;1/3to1/2_1;377.30;13.10;67.00;0.00;1/3to2/3_0;5.10;0.00;tripinfo_car67;97.00;car67;0;1137.56;55.45;privateType;;0
164.00;1/3to0/3_0;378.80;27.77;52.00;0.00;1/0to1/1_0;5.10;0.00;tripinfo_car52;112.00;car52;2;1574.63;54.59;privateType;;0
165.00;2/2to2/3_0;377.30;27.11;57.00;0.00;1/0to1/1_0;5.10;0.00;tripinfo_car57;108.00;car57;2;1552.77;51.39;privateType;;0
166.00;2/1to1/1_0;377.30;27.21;85.00;0.00;3/2to2/2_0;5.10;0.00;tripinfo_car85;81.00;car85;1;1152.77;38.90;privateType;;0
167.00;3/2to3/3_0;378.80;20.52;29.00;0.00;0/1to1/1_1;5.10;0.00;tripinfo_car29;138.00;car29;3;1955.20;67.13;privateType;;0
169.00;3/1to3/2_0;377.30;27.25;148.00;1.00;3/1to3/2_0;5.10;0.00;tripinfo_car147;21.00;car147;0;372.20;6.76;privateType;;0
171.00;2/2to1/2_1;377.30;13.74;55.00;0.00;0/1to1/1_0;5.10;0.00;tripinfo_car55;116.00;car55;5;1534.89;60.78;privateType;;0
172.00;0/2to1/2_1;377.30;13.21;110.00;5.00;1/2to0/2_0;5.10;0.00;tripinfo_car105;62.00;car105;0;754.32;34.91;privateType;;0
174.00;1/2to1/1_1;377.30;12.65;69.00;1.00;2/1to2/2_0;5.10;0.00;tripinfo_car68;105.00;car68;0;1155.24;62.74;privateType;;3
174.00;1/2to2/2_1;377.30;13.15;3.00;0.00;3/0to3/1_1;5.10;0.00;tripinfo_car3;171.00;car3;0;1941.47;100.56;privateType;;8
175.00;0/1to0/2_0;377.30;27.18;99.00;2.00;2/2to2/1_0;5.10;0.00;tripinfo_car97;76.00;car97;1;1536.80;20.47;privateType;;0
177.00;3/2to3/3_0;378.80;27.70;49.00;0.00;1/0to1/1_0;5.10;0.00;tripinfo_car49;128.00;car49;2;1956.93;57.06;privateType;;0
