tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
258.00;7/6to6/6_1;377.30;13.56;108.00;0.00;3/6to4/6_0;5.10;0.00;tripinfo_108;150.00;108;0;1954.32;79.80;privateType;;4
258.00;7/4to7/5_0;377.30;27.70;61.00;0.00;9/0to8/0_0;5.10;0.00;tripinfo_61;197.00;61;0;3539.06;69.38;privateType;;0
259.00;4/5to5/5_0;377.30;26.76;149.00;0.00;4/6to3/6_0;5.10;0.00;tripinfo_149;110.00;149;0;1555.24;53.09;privateType;;0
259.00;6/1to6/0_0;377.30;26.76;91.00;0.00;7/4to7/3_0;5.10;0.00;tripinfo_91;168.00;91;0;2734.95;68.91;privateType;;0
260.00;2/2to2/1_1;377.30;12.80;62.00;0.00;1/5to1/4_0;5.10;0.00;tripinfo_62;198.00;62;0;2734.95;99.09;privateType;;0
261.00;1/7to0/7_0;377.30;27.03;57.00;0.00;7/7to8/7_0;5.10;0.00;tripinfo_57;204.00;57;0;3554.32;76.11;privateType;;0
262.00;5/3to5/4_1;377.30;12.85;23.00;0.00;2/1to2/2_0;5.10;0.00;tripinfo_23;239.00;23;0;3137.36;125.87;privateType;;0
265.00;5/8to5/7_1;377.30;12.70;203.00;4.00;5/7to5/8_0;5.10;0.00;tripinfo_199;62.00;199;0;751.91;34.70;privateType;;0
265.00;1/8to0/8_0;377.30;26.70;14.00;0.00;2/0to2/1_0;5.10;0.00;tripinfo_14;251.00;14;0;3956.97;108.40;privateType;;0
265.00;8/1to8/0_1;377.30;13.81;4.00;0.00;2/0to2/1_0;5.10;0.00;tripinfo_4;261.00;4;0;3918.20;119.61;privateType;;0
266.00;4/5to4/4_1;377.30;12.76;50.00;0.00;6/3to7/3_0;5.10;0.00;tripinfo_50;216.00;50;0;2753.51;116.67;privateType;;0
266.00;2/7to2/8_1;377.30;13.40;7.00;0.00;4/3to4/4_0;5.10;0.00;tripinfo_7;259.00;7;0;3537.36;131.30;privateType;;0
267.00;3/8to3/7_1;377.30;13.78;24.00;0.00;1/5to0/5_0;5.10;0.00;tripinfo_24;243.00;24;0;3132.30;130.39;privateType;;0
268.00;2/2to2/3_1;377.30;13.73;112.00;0.00;1/3to1/4_0;5.10;0.00;tripinfo_112;156.00;112;0;1934.95;85.57;privateType;;0
271.00;1/6to0/6_1;377.30;12.72;36.00;0.00;2/8to2/9_0;5.10;0.00;tripinfo_36;235.00;36;0;3123.26;121.53;privateType;;0
272.00;6/2to7/2_1;377.30;13.01;178.00;0.00;6/2to6/3_0;5.10;0.00;tripinfo_178;94.00;178;0;1136.68;52.49;privateType;;0
273.00;3/3to2/3_0;377.30;27.10;164.00;0.00;4/4to4/5_1;5.10;0.00;tripinfo_164;109.00;164;1;1934.21;38.71;privateType;;0
273.00;7/0to7/1_1;377.30;12.75;93.00;0.00;6/2to6/3_0;5.10;0.00;tripinfo_93;180.00;93;0;2338.49;95.20;privateType;;0
274.00;2/0to1/0_1;377.30;13.50;29.00;0.00;3/2to3/3_0;5.10;0.00;tripinfo_29;245.00;29;0;3135.88;131.64;privateType;;0
274.00;3/0to3/1_1;377.30;13.21;59.00;0.00;5/2to5/3_0;5.10;0.00;tripinfo_59;215.00;59;0;2737.36;115.84;privateType;;0
274.00;9/1to8/1_1;377.30;12.85;98.00;0.00;4/1to5/1_0;5.10;0.00;tripinfo_98;176.00;98;0;2354.32;91.06;privateType;;0
276.00;6/6to6/7_1;377.30;13.49;66.00;0.00;2/6to2/7_0;5.10;0.00;tripinfo_66;210.00;66;0;2734.95;111.18;privateType;;0
276.00;0/0to1/0_0;378.80;27.11;143.00;0.00;1/2to1/3_0;5.10;0.00;tripinfo_143;133.00;143;0;2362.07;47.38;privateType;;0
278.00;3/6to3/5_0;377.30;23.74;33.00;0.00;0/1to1/1_0;5.10;0.00;tripinfo_33;245.00;33;0;3550.18;117.39;privateType;;1
278.00;0/7to1/7_0;377.30;27.59;152.00;0.00;0/8to1/8_0;5.10;0.00;tripinfo_152;126.00;152;0;1540.90;69.41;privateType;;0
278.00;1/7to2/7_1;377.30;12.85;15.00;0.00;3/2to3/1_0;5.10;0.00;tripinfo_15;263.00;15;0;3918.80;121.60;privateType;;0
