tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
89.00;4/1to5/1_1;377.30;13.27;26.00;0.00;5/1to4/1_1;5.10;0.00;tripinfo_26;63.00;26;0;754.32;35.60;privateType;;0
110.00;2/7to2/6_1;377.30;13.21;18.00;0.00;2/9to2/8_1;5.10;0.00;tripinfo_18;92.00;18;0;1172.20;49.75;privateType;;0
119.00;5/9to5/8_1;377.30;13.11;88.00;0.00;5/9to5/8_1;5.10;0.00;tripinfo_88;31.00;88;0;372.20;17.46;privateType;;0
131.00;1/1to1/0_1;377.30;13.55;8.00;0.00;0/1to0/0_1;5.10;0.00;tripinfo_8;123.00;8;0;1541.73;66.93;privateType;;0
146.00;8/7to7/7_1;377.30;13.57;53.00;0.00;8/5to8/6_1;5.10;0.00;tripinfo_53;93.00;53;0;1156.97;50.56;privateType;;0
149.00;4/9to5/9_0;377.30;26.67;20.00;0.00;2/5to2/6_0;12.10;0.00;tripinfo_bus1;129.00;bus1;0;2747.50;26.84;busType;;0
164.00;4/7to4/6_1;377.30;12.87;39.00;0.00;5/5to5/6_1;5.10;0.00;tripinfo_39;125.00;39;0;1555.24;68.61;privateType;;0
167.00;3/7to3/8_1;377.30;13.69;0.00;0.00;0/5to1/5_0;12.10;0.00;tripinfo_bus0;167.00;bus0;0;2344.04;79.97;busType;;0
169.00;5/8to6/8_1;377.30;13.44;13.00;0.00;8/9to7/9_1;5.10;0.00;tripinfo_13;156.00;13;0;1942.62;84.92;privateType;;0
197.00;1/9to0/9_1;378.80;13.67;43.00;0.00;1/7to1/6_1;5.10;0.00;tripinfo_43;154.00;43;0;1954.34;83.74;privateType;;0
201.00;3/2to3/1_1;377.30;13.43;10.00;0.00;5/3to5/4_1;5.10;0.00;tripinfo_10;191.00;10;0;2355.24;105.66;privateType;;0
213.00;8/4to7/4_1;377.30;13.12;22.00;0.00;9/4to9/5_1;5.10;0.00;tripinfo_22;191.00;22;0;2323.01;106.43;privateType;;0
213.00;3/9to4/9_0;377.30;26.41;40.00;0.00;4/2to3/2_0;12.10;0.00;tripinfo_bus2;173.00;bus2;0;3529.80;41.85;busType;;0
217.00;8/1to7/1_1;377.30;13.70;120.00;0.00;6/1to7/1_0;12.10;0.00;tripinfo_bus6;97.00;bus6;0;1147.32;54.09;busType;;0
224.00;2/2to2/1_1;377.30;13.67;132.00;0.00;3/3to2/3_1;5.10;0.00;tripinfo_132;92.00;132;0;1170.47;49.92;privateType;;0
225.00;4/8to4/7_1;377.30;13.50;163.00;0.00;4/9to4/8_1;5.10;0.00;tripinfo_163;62.00;163;0;772.20;33.86;privateType;;0
226.00;5/6to4/6_1;377.30;13.48;11.00;0.00;4/3to3/3_1;5.10;0.00;tripinfo_11;215.00;11;0;2737.36;115.79;privateType;;0
234.00;8/1to8/2_1;377.30;13.08;76.00;0.00;6/3to6/2_1;5.10;0.00;tripinfo_76;158.00;76;0;1955.24;87.06;privateType;;0
241.00;1/5to1/4_1;377.30;13.53;27.00;0.00;2/2to1/2_1;5.10;0.00;tripinfo_27;214.00;27;0;2732.30;115.50;privateType;;0
242.00;6/0to6/1_1;377.30;12.85;87.00;0.00;7/1to8/1_1;5.10;0.00;tripinfo_87;155.00;87;0;1934.71;85.32;privateType;;0
244.00;1/6to2/6_1;377.30;13.79;86.00;0.00;1/4to1/5_1;5.10;0.00;tripinfo_86;158.00;86;0;1939.09;87.59;privateType;;0
245.00;7/9to6/9_1;377.30;12.74;54.00;0.00;4/9to4/8_1;5.10;0.00;tripinfo_54;191.00;54;0;2356.17;105.84;privateType;;0
249.00;5/4to4/4_1;377.30;13.80;90.00;0.00;5/0to5/1_1;5.10;0.00;tripinfo_90;159.00;90;0;1956.97;87.78;privateType;;1
250.00;6/1to7/1_2;377.30;13.55;64.00;0.00;4/2to4/3_1;5.10;0.00;tripinfo_64;186.00;64;0;2336.68;101.44;privateType;;0
250.00;2/8to2/9_1;377.30;13.51;65.00;0.00;2/5to1/5_1;5.10;0.00;tripinfo_65;185.00;65;0;2352.59;100.43;privateType;;0
251.00;4/8to5/8_1;377.30;12.94;3.00;0.00;3/4to3/5_1;5.10;0.00;tripinfo_3;248.00;3;0;3139.09;134.68;privateType;;0
254.00;2/6to2/7_1;377.30;13.76;30.00;0.00;4/8to4/7_1;5.10;0.00;tripinfo_30;224.00;30;0;2714.66;125.52;privateType;;0
256.00;1/6to1/5_1;377.30;13.03;42.00;0.00;2/9to3/9_1;5.10;0.00;tripinfo_42;214.00;42;0;2737.56;114.90;privateType;;0
261.00;5/8to5/7_1;377.30;12.70;199.00;0.00;5/7to5/8_1;5.10;0.00;tripinfo_199;62.00;199;0;751.91;34.68;privateType;;0
