tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
68.00;2/7to2/6_0;377.30;27.11;18.00;0.00;2/9to2/8_0;5.10;0.00;tripinfo_18;50.00;18;0;1172.20;7.17;privateType;;0
89.00;4/1to5/1_1;377.30;13.50;26.00;0.00;5/1to4/1_0;5.10;0.00;tripinfo_26;63.00;26;0;754.32;35.53;privateType;;0
109.00;5/9to5/8_0;377.30;27.02;88.00;0.00;5/9to5/8_0;5.10;0.00;tripinfo_88;21.00;88;0;372.20;6.74;privateType;;0
131.00;1/1to1/0_1;377.30;13.19;8.00;0.00;0/1to0/0_0;5.10;0.00;tripinfo_8;123.00;8;0;1541.73;66.92;privateType;;0
146.00;8/7to7/7_1;377.30;13.80;53.00;0.00;8/5to8/6_0;5.10;0.00;tripinfo_53;93.00;53;0;1156.97;50.67;privateType;;0
160.00;3/2to3/1_0;377.30;27.35;10.00;0.00;5/3to5/4_0;5.10;0.00;tripinfo_10;150.00;10;0;2355.24;64.89;privateType;;0
163.00;4/7to4/6_1;377.30;13.18;39.00;0.00;5/5to5/6_0;5.10;0.00;tripinfo_39;124.00;39;0;1555.24;67.68;privateType;;0
164.00;5/8to6/8_1;377.30;13.78;13.00;0.00;8/9to7/9_0;5.10;0.00;tripinfo_13;151.00;13;0;1942.62;80.25;privateType;;0
168.00;3/7to3/8_1;377.30;13.75;0.00;0.00;0/5to1/5_0;12.10;0.00;tripinfo_bus0;168.00;bus0;0;2344.04;81.03;busType;;0
181.00;4/9to5/9_0;377.30;26.83;20.00;0.00;2/5to2/6_0;12.10;0.00;tripinfo_bus1;161.00;bus1;2;2728.07;59.80;busType;;3
189.00;1/9to0/9_0;378.80;26.06;43.00;0.00;1/7to1/6_0;5.10;0.00;tripinfo_43;146.00;43;0;1954.34;75.31;privateType;;0
191.00;0/2to0/1_0;377.30;27.46;63.00;0.00;1/7to0/7_0;5.10;0.00;tripinfo_63;128.00;63;0;2773.13;27.54;privateType;;0
199.00;1/6to1/5_0;377.30;26.92;42.00;0.00;2/9to3/9_0;5.10;0.00;tripinfo_42;157.00;42;0;2737.56;58.10;privateType;;0
201.00;4/8to4/7_0;377.30;27.56;166.00;3.00;4/9to4/8_0;5.10;0.00;tripinfo_163;35.00;163;0;772.20;6.88;privateType;;0
207.00;4/8to5/8_0;377.30;27.25;3.00;0.00;3/4to3/5_0;5.10;0.00;tripinfo_3;204.00;3;0;3139.09;90.12;privateType;;0
209.00;2/8to2/9_0;377.30;27.83;65.00;0.00;2/5to1/5_0;5.10;0.00;tripinfo_65;144.00;65;0;2352.59;59.56;privateType;;0
210.00;2/2to2/1_0;377.30;27.78;132.00;0.00;3/3to2/3_0;5.10;0.00;tripinfo_132;78.00;132;0;1170.47;35.74;privateType;;1
210.00;8/4to7/4_1;377.30;12.77;22.00;0.00;9/4to9/5_0;5.10;0.00;tripinfo_22;188.00;22;0;2323.01;103.37;privateType;;0
219.00;8/1to7/1_1;377.30;13.47;121.00;1.00;6/1to7/1_0;12.10;0.00;tripinfo_bus6;98.00;bus6;0;1147.32;54.97;busType;;0
223.00;5/6to4/6_1;377.30;12.75;11.00;0.00;4/3to3/3_0;5.10;0.00;tripinfo_11;212.00;11;0;2737.36;113.11;privateType;;0
223.00;6/1to7/1_0;377.30;27.28;64.00;0.00;4/2to4/3_0;5.10;0.00;tripinfo_64;159.00;64;0;2336.68;73.93;privateType;;0
225.00;1/6to2/6_0;377.30;26.66;86.00;0.00;1/4to1/5_0;5.10;0.00;tripinfo_86;139.00;86;0;1939.09;68.27;privateType;;0
226.00;3/5to3/6_0;377.30;27.57;5.00;0.00;2/0to1/0_0;5.10;0.00;tripinfo_5;221.00;5;0;3537.56;93.27;privateType;;4
227.00;5/4to4/4_1;377.30;13.76;90.00;0.00;5/0to5/1_0;5.10;0.00;tripinfo_90;137.00;90;0;1956.97;65.94;privateType;;0
227.00;7/0to8/0_0;377.30;27.22;100.00;0.00;5/1to4/1_0;5.10;0.00;tripinfo_100;127.00;100;0;2371.40;41.90;privateType;;0
231.00;8/1to8/2_1;377.30;12.76;76.00;0.00;6/3to6/2_0;5.10;0.00;tripinfo_76;155.00;76;0;1955.24;84.16;privateType;;0
233.00;5/3to5/2_0;377.30;27.59;55.00;0.00;7/5to7/4_0;5.10;0.00;tripinfo_55;178.00;55;0;2734.95;78.80;privateType;;0
236.00;1/4to0/4_0;377.30;27.37;51.00;0.00;3/2to3/1_0;5.10;0.00;tripinfo_51;185.00;51;0;2736.68;86.08;privateType;;0
237.00;5/5to5/6_0;377.30;26.81;41.00;0.00;1/1to2/1_0;5.10;0.00;tripinfo_41;196.00;41;0;3570.47;67.85;privateType;;0
239.00;1/5to1/4_1;377.30;13.37;27.00;0.00;2/2to1/2_0;5.10;0.00;tripinfo_27;212.00;27;0;2732.30;113.56;privateType;;0
239.00;7/1to8/1_0;377.30;27.32;58.00;0.00;4/2to4/3_0;5.10;0.00;tripinfo_58;181.00;58;0;2736.68;81.25;privateType;;0
239.00;7/9to6/9_0;377.30;18.88;54.00;0.00;4/9to4/8_0;5.10;0.00;tripinfo_54;185.00;54;0;2356.17;99.67;privateType;;0
245.00;6/1to6/0_0;377.30;26.60;69.00;0.00;5/6to6/6_0;5.10;0.00;tripinfo_69;176.00;69;0;3550.18;47.81;privateType;;0
246.00;6/0to6/1_1;377.30;13.03;87.00;0.00;7/1to8/1_0;5.10;0.00;tripinfo_87;159.00;87;0;1934.71;89.41;privateType;;0
248.00;4/1to4/0_2;377.30;12.80;6.00;0.00;3/7to3/6_0;5.10;0.00;tripinfo_6;242.00;6;0;3938.49;99.79;privateType;;0
251.00;2/6to2/7_1;377.30;12.70;30.00;0.00;4/8to4/7_0;5.10;0.00;tripinfo_30;221.00;30;0;2714.66;122.58;privateType;;0
252.00;7/6to6/6_1;377.30;12.71;108.00;0.00;3/6to4/6_0;5.10;0.00;tripinfo_108;144.00;108;0;1954.32;73.82;privateType;;0
257.00;0/4to1/4_1;377.30;12.72;104.00;0.00;3/3to3/4_0;5.10;0.00;tripinfo_104;153.00;104;0;1939.09;82.86;privateType;;0
258.00;5/3to5/4_1;377.30;13.01;23.00;0.00;2/1to2/2_0;5.10;0.00;tripinfo_23;235.00;23;0;3137.36;121.58;privateType;;0
258.00;7/4to7/5_0;377.30;27.21;61.00;0.00;9/0to8/0_0;5.10;0.00;tripinfo_61;197.00;61;0;3539.06;69.13;privateType;;0
260.00;1/7to0/7_0;377.30;27.84;57.00;0.00;7/7to8/7_0;5.10;0.00;tripinfo_57;203.00;57;0;3554.32;75.06;privateType;;0
261.00;2/2to2/1_1;377.30;13.76;62.00;0.00;1/5to1/4_0;5.10;0.00;tripinfo_62;199.00;62;0;2734.95;100.10;privateType;;0
263.00;8/1to8/0_1;377.30;12.70;4.00;0.00;2/0to2/1_0;5.10;0.00;tripinfo_4;259.00;4;0;3918.20;117.60;privateType;;0
265.00;3/8to3/7_1;377.30;13.90;24.00;0.00;1/5to0/5_0;5.10;0.00;tripinfo_24;241.00;24;0;3132.30;128.37;privateType;;0
265.00;5/8to5/7_1;377.30;13.26;202.00;3.00;5/7to5/8_0;5.10;0.00;tripinfo_199;63.00;199;0;751.91;35.90;privateType;;0
265.00;6/1to6/0_0;377.30;27.11;91.00;0.00;7/4to7/3_0;5.10;0.00;tripinfo_91;174.00;91;0;2734.95;74.92;privateType;;4
266.00;2/7to2/8_1;377.30;13.69;7.00;0.00;4/3to4/4_0;5.10;0.00;tripinfo_7;259.00;7;0;3537.36;131.09;privateType;;0
267.00;4/5to4/4_1;377.30;12.73;50.00;0.00;6/3to7/3_0;5.10;0.00;tripinfo_50;217.00;50;0;2753.51;117.66;privateType;;0
268.00;2/2to2/3_1;377.30;12.74;112.00;0.00;1/3to1/4_0;5.10;0.00;tripinfo_112;156.00;112;0;1934.95;85.62;privateType;;0
270.00;4/5to5/5_0;377.30;27.62;149.00;0.00;4/6to3/6_0;5.10;0.00;tripinfo_149;121.00;149;0;1555.24;64.25;privateType;;4
272.00;0/0to1/0_0;378.80;27.09;143.00;0.00;1/2to1/3_0;5.10;0.00;tripinfo_143;129.00;143;0;2362.07;43.21;privateType;;0
272.00;3/3to2/3_0;377.30;27.27;164.00;0.00;4/4to4/5_1;5.10;0.00;tripinfo_164;108.00;164;1;1934.21;38.34;privateType;;0
273.00;0/7to1/7_0;377.30;25.47;152.00;0.00;0/8to1/8_0;5.10;0.00;tripinfo_152;121.00;152;0;1540.90;65.06;privateType;;0
273.00;1/6to0/6_1;377.30;12.72;36.00;0.00;2/8to2/9_0;5.10;0.00;tripinfo_36;237.00;36;0;3123.26;123.47;privateType;;0
273.00;6/2to7/2_1;377.30;13.55;178.00;0.00;6/2to6/3_0;5.10;0.00;tripinfo_178;95.00;178;0;1136.68;53.28;privateType;;0
273.00;1/8to0/8_0;377.30;27.58;14.00;0.00;2/0to2/1_0;5.10;0.00;tripinfo_14;259.00;14;0;3956.97;116.16;privateType;;0
274.00;9/1to8/1_1;377.30;13.63;98.00;0.00;4/1to5/1_0;5.10;0.00;tripinfo_98;176.00;98;0;2354.32;91.08;privateType;;0
275.00;2/0to1/0_1;377.30;13.51;29.00;0.00;3/2to3/3_0;5.10;0.00;tripinfo_29;246.00;29;0;3135.88;132.49;privateType;;0
275.00;4/8to5/8_0;377.30;27.89;120.00;0.00;4/4to4/3_0;5.10;0.00;tripinfo_120;155.00;120;1;2734.21;55.92;privateType;;0
275.00;7/0to7/1_0;377.30;22.50;93.00;0.00;6/2to6/3_0;5.10;0.00;tripinfo_93;182.00;93;0;2338.49;96.73;privateType;;0
276.00;3/2to2/2_0;377.30;26.62;60.00;0.00;5/7to6/7_0;5.10;0.00;tripinfo_60;216.00;60;3;3934.89;74.23;privateType;;0
277.00;3/0to3/1_1;377.30;12.71;59.00;0.00;5/2to5/3_0;5.10;0.00;tripinfo_59;218.00;59;0;2737.36;119.23;privateType;;1
