tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
58.00;585_2;131.11;13.50;5.00;0.00;-614_0;5.10;0.00;tripinfo_5;53.00;5;0;600.65;8.89;privateType;;0
62.00;128_1;79.74;13.34;18.00;0.00;9_0;5.10;0.00;tripinfo_18;44.00;18;0;511.19;6.57;privateType;;0
68.00;-870_0;79.90;13.60;7.00;0.00;-210_0;5.10;0.00;tripinfo_7;61.00;7;0;737.56;7.13;privateType;;0
72.00;38_1;145.60;13.59;35.00;0.00;-326_0;5.10;0.00;tripinfo_35;37.00;35;0;410.34;5.99;privateType;;0
75.00;-117_2;88.17;12.79;10.00;0.00;-650_0;5.10;0.00;tripinfo_10;65.00;10;0;736.75;9.98;privateType;;0
76.00;-17_2;188.68;13.85;26.00;0.00;116_0;5.10;0.00;tripinfo_26;50.00;26;0;473.70;15.86;privateType;;2
77.00;-1029_2;144.77;13.86;14.00;0.00;7_1;5.10;0.00;tripinfo_14;63.00;14;1;714.23;11.37;privateType;;0
85.00;344_2;101.66;13.44;6.00;0.00;585_0;5.10;0.00;tripinfo_6;79.00;6;0;746.46;24.25;privateType;;8
88.00;123_1;129.57;13.46;0.00;0.00;7_0;12.10;0.00;tripinfo_bus0;88.00;bus0;0;895.33;22.15;busType;;0
90.00;625_2;115.42;13.83;17.00;0.00;592_0;5.10;0.00;tripinfo_17;73.00;17;0;831.63;12.70;privateType;;0
92.00;-679_2;110.98;12.94;11.00;0.00;15_0;5.10;0.00;tripinfo_11;81.00;11;0;958.15;11.17;privateType;;0
93.00;517_2;157.09;13.80;40.00;0.00;-1057_0;12.10;0.00;tripinfo_bus2;53.00;bus2;0;554.23;10.92;busType;;0
