tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
58.00;585_2;131.11;13.82;5.00;0.00;-614_0;5.10;0.00;tripinfo_5;53.00;5;0;600.65;9.00;privateType;;0
68.00;-870_0;79.90;13.38;7.00;0.00;-210_0;5.10;0.00;tripinfo_7;61.00;7;0;737.56;7.09;privateType;;0
71.00;128_1;79.74;13.08;18.00;0.00;9_0;5.10;0.00;tripinfo_18;53.00;18;0;511.19;15.46;privateType;;2
74.00;38_1;145.60;12.76;35.00;0.00;-326_0;5.10;0.00;tripinfo_35;39.00;35;0;410.34;7.76;privateType;;0
75.00;-117_2;88.17;12.82;10.00;0.00;-650_0;5.10;0.00;tripinfo_10;65.00;10;0;736.75;9.92;privateType;;0
77.00;-1029_2;144.77;13.14;14.00;0.00;7_1;5.10;0.00;tripinfo_14;63.00;14;1;714.23;10.99;privateType;;0
81.00;-17_1;188.68;12.93;26.00;0.00;116_0;5.10;0.00;tripinfo_26;55.00;26;0;473.70;19.98;privateType;;5
85.00;344_2;101.66;13.03;6.00;0.00;585_0;5.10;0.00;tripinfo_6;79.00;6;0;746.46;24.85;privateType;;9
86.00;123_1;129.57;13.38;0.00;0.00;7_0;12.10;0.00;tripinfo_bus0;86.00;bus0;0;895.33;20.21;busType;;0
90.00;625_2;115.42;13.66;17.00;0.00;592_0;5.10;0.00;tripinfo_17;73.00;17;0;831.63;12.00;privateType;;0
91.00;-679_2;110.98;13.60;11.00;0.00;15_0;5.10;0.00;tripinfo_11;80.00;11;0;958.15;10.68;privateType;;0
93.00;517_2;157.09;13.64;40.00;0.00;-1057_0;12.10;0.00;tripinfo_bus2;53.00;bus2;0;554.23;11.63;busType;;0
93.00;-17_2;188.68;13.02;13.00;0.00;121_0;5.10;0.00;tripinfo_13;80.00;13;0;946.43;10.12;privateType;;0
97.00;-698_2;111.22;13.15;16.00;0.00;13_0;5.10;0.00;tripinfo_16;81.00;16;0;925.56;12.24;privateType;;0
97.00;-17_2;188.68;13.49;63.00;0.00;13_0;5.10;0.00;tripinfo_63;34.00;63;0;320.64;10.24;privateType;;0
101.00;-577_2;182.62;13.21;8.00;0.00;125_0;5.10;0.00;tripinfo_8;93.00;8;0;1119.14;11.00;privateType;;0
104.00;348_1;127.93;13.45;45.00;0.00;-349_0;5.10;0.00;tripinfo_45;59.00;45;0;608.18;11.28;privateType;;0
105.00;365_0;193.22;13.24;4.00;0.00;-119_0;5.10;0.00;tripinfo_4;101.00;4;0;1273.62;9.10;privateType;;0
107.00;210_2;103.97;13.44;61.00;0.00;-25_0;5.10;0.00;tripinfo_61;46.00;61;0;510.97;8.28;privateType;;0
108.00;-348_2;127.93;13.12;29.00;0.00;585_0;5.10;0.00;tripinfo_29;79.00;29;0;878.01;13.44;privateType;;0
108.00;-734_2;194.90;13.08;73.00;0.00;1033_0;5.10;0.00;tripinfo_73;35.00;73;0;394.32;6.43;privateType;;0
112.00;570_0;114.42;13.36;101.00;0.00;570_0;5.10;0.00;tripinfo_101;11.00;101;0;109.32;2.75;privateType;;0
117.00;505_2;160.73;13.09;57.00;0.00;-123_0;5.10;0.00;tripinfo_57;60.00;57;0;543.26;18.77;privateType;;6
118.00;379_0;132.76;13.48;20.00;0.00;-117_0;12.10;0.00;tripinfo_bus1;98.00;bus1;0;1136.97;15.92;busType;;0
121.00;356_2;139.43;13.50;60.00;0.00;-126_0;5.10;0.00;tripinfo_60;61.00;60;0;735.88;6.09;privateType;;0
124.00;882_2;170.95;12.91;19.00;0.00;330_0;5.10;0.00;tripinfo_19;105.00;19;0;1257.06;12.64;privateType;;0
126.00;623_0;148.58;13.78;23.00;0.00;-642_0;5.10;0.00;tripinfo_23;103.00;23;0;1248.63;12.05;privateType;;0
126.00;585_2;131.11;13.38;52.00;0.00;-535_0;5.10;0.00;tripinfo_52;74.00;52;0;805.99;15.39;privateType;;1
128.00;-579_2;150.88;13.33;69.00;0.00;614_0;5.10;0.00;tripinfo_69;59.00;69;0;678.11;9.57;privateType;;0
128.00;-523_2;173.47;13.82;56.00;0.00;-686_0;5.10;0.00;tripinfo_56;72.00;56;0;827.04;11.62;privateType;;0
129.00;882_2;170.95;12.99;25.00;0.00;-319_0;5.10;0.00;tripinfo_25;104.00;25;0;1021.39;27.71;privateType;;7
