tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
58.00;585_2;131.11;13.47;5.00;0.00;-614_1;5.10;0.00;tripinfo_5;53.00;5;0;600.65;8.83;privateType;;0
64.00;128_1;79.74;12.75;18.00;0.00;9_1;5.10;0.00;tripinfo_18;46.00;18;0;511.19;9.06;privateType;;0
67.00;-870_1;79.90;13.02;7.00;0.00;-210_1;5.10;0.00;tripinfo_7;60.00;7;0;737.56;6.68;privateType;;0
72.00;-117_2;88.17;13.31;10.00;0.00;-650_1;5.10;0.00;tripinfo_10;62.00;10;0;736.75;7.47;privateType;;0
75.00;38_1;145.60;12.86;35.00;0.00;-326_1;5.10;0.00;tripinfo_35;40.00;35;0;410.34;8.45;privateType;;0
82.00;-17_2;188.68;12.87;26.00;0.00;116_1;5.10;0.00;tripinfo_26;56.00;26;0;473.70;21.39;privateType;;4
85.00;344_2;101.66;13.01;6.00;0.00;585_1;5.10;0.00;tripinfo_6;79.00;6;0;746.46;24.48;privateType;;9
88.00;625_2;115.42;12.85;17.00;0.00;592_1;5.10;0.00;tripinfo_17;71.00;17;0;831.63;10.24;privateType;;0
88.00;123_1;129.57;13.61;0.00;0.00;7_0;12.10;0.00;tripinfo_bus0;88.00;bus0;0;895.33;21.64;busType;;0
92.00;-679_2;110.98;13.08;11.00;0.00;15_1;5.10;0.00;tripinfo_11;81.00;11;0;958.15;11.62;privateType;;0
93.00;-17_2;188.68;13.81;13.00;0.00;121_1;5.10;0.00;tripinfo_13;80.00;13;0;946.43;9.79;privateType;;0
95.00;517_2;157.09;13.46;40.00;0.00;-1057_0;12.10;0.00;tripinfo_bus2;55.00;bus2;0;554.23;13.45;busType;;0
97.00;-1029_2;144.77;13.27;14.00;0.00;7_1;5.10;0.00;tripinfo_14;83.00;14;0;964.41;12.52;privateType;;0
97.00;-17_2;188.68;13.72;63.00;0.00;13_1;5.10;0.00;tripinfo_63;34.00;63;0;320.64;10.28;privateType;;1
98.00;-698_2;111.22;12.83;16.00;0.00;13_1;5.10;0.00;tripinfo_16;82.00;16;0;925.56;13.33;privateType;;0
99.00;-577_2;182.62;12.96;8.00;0.00;125_1;5.10;0.00;tripinfo_8;91.00;8;0;1119.14;8.96;privateType;;0
101.00;348_1;127.93;13.42;45.00;0.00;-349_1;5.10;0.00;tripinfo_45;56.00;45;0;608.18;8.91;privateType;;0
106.00;210_2;103.97;13.31;61.00;0.00;-25_1;5.10;0.00;tripinfo_61;45.00;61;0;510.97;7.95;privateType;;0
106.00;365_1;193.22;13.74;4.00;0.00;-119_1;5.10;0.00;tripinfo_4;102.00;4;0;1273.62;9.36;privateType;;0
109.00;-348_2;127.93;13.72;29.00;0.00;585_1;5.10;0.00;tripinfo_29;80.00;29;0;878.01;15.02;privateType;;0
109.00;-734_2;194.90;13.54;73.00;0.00;1033_1;5.10;0.00;tripinfo_73;36.00;73;0;394.32;6.53;privateType;;0
113.00;570_1;114.42;13.20;101.00;0.00;570_1;5.10;0.00;tripinfo_101;12.00;101;0;109.32;3.35;privateType;;0
118.00;379_0;132.76;13.74;20.00;0.00;-117_0;12.10;0.00;tripinfo_bus1;98.00;bus1;0;1136.97;15.82;busType;;0
121.00;356_2;139.43;13.72;60.00;0.00;-126_1;5.10;0.00;tripinfo_60;61.00;60;0;735.88;6.28;privateType;;0
