tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
509.00;-7_1;181.11;13.87;401.00;0.00;-326_0;5.10;0.00;tripinfo_401;108.00;401;0;1287.20;12.22;privateType;;0
511.00;686_1;152.40;13.85;255.00;0.00;732_0;5.10;0.00;tripinfo_255;256.00;255;0;1936.83;110.51;privateType;;50
511.00;840_0;227.77;13.72;220.00;0.00;-608_0;12.10;0.00;tripinfo_bus11;291.00;bus11;7;3170.99;61.58;busType;;4
512.00;-614_0;96.58;13.75;291.00;0.00;837_0;5.10;0.00;tripinfo_291;221.00;291;4;2477.12;38.87;privateType;;4
512.00;618_2;137.47;13.64;327.00;0.00;-837_0;5.10;0.00;tripinfo_327;185.00;327;0;2155.20;28.24;privateType;;0
512.00;3_2;202.42;13.27;369.00;0.00;-639_0;5.10;0.00;tripinfo_369;143.00;369;0;1427.08;37.78;privateType;;9
513.00;696_2;88.66;11.61;470.00;0.00;-679_0;5.10;0.00;tripinfo_470;43.00;470;0;404.27;11.71;privateType;;0
514.00;-117_1;88.17;10.41;239.00;0.00;-13_0;5.10;0.00;tripinfo_239;275.00;239;0;464.91;240.71;privateType;;200
514.00;348_1;127.93;13.14;356.00;0.00;588_0;5.10;0.00;tripinfo_356;158.00;356;0;1663.95;35.69;privateType;;9
514.00;1093_1;163.07;13.82;361.00;0.00;349_0;5.10;0.00;tripinfo_361;153.00;361;0;1618.64;33.77;privateType;;5
516.00;-639_2;164.14;13.15;358.00;0.00;535_0;5.10;0.00;tripinfo_358;158.00;358;0;1875.47;22.46;privateType;;0
517.00;876_2;109.44;12.93;339.00;0.00;11_0;5.10;0.00;tripinfo_339;178.00;339;0;1842.26;44.81;privateType;;10
518.00;-696_2;88.66;13.74;349.00;0.00;588_0;5.10;0.00;tripinfo_349;169.00;349;0;1553.08;56.96;privateType;;18
